x,y,N
-23.199969,-19.999926,168
-23.199947,-19.200059,168
-23.199911,-18.400069,168
-23.199902,-17.600094,168
-23.199959,-16.799951,168
-23.199969,-15.999962,168
-23.200086,-15.200021,168
-22.399995,-19.999929,168
-22.400069,-19.200003,168
-22.400087,-18.400054,168
-22.399905,-17.599937,168
-22.399942,-16.799982,168
-22.400075,-15.999922,168
-22.39994,-15.200072,168
-22.400002,-14.400084,168
-22.399944,-13.600027,168
-22.399982,-12.799979,160
-22.39993,-12.000059,160
-22.399925,-11.200055,162
-22.399974,-10.399932,162
-22.400045,-9.6000553,162
-22.400099,-8.7999253,162
-22.400037,-8.0000297,162
-22.399914,-7.1999251,162
-22.39992,-6.4000416,162
-21.59996,-19.999955,168
-21.599935,-19.200007,168
-21.599909,-18.400013,168
-21.599931,-17.599953,168
-21.600054,-16.799977,168
-21.599943,-16.000049,168
-21.599942,-15.199985,168
-21.599906,-14.400097,168
-21.600065,-13.599962,160
-21.599994,-12.800075,160
-21.600001,-12.00006,160
-21.599931,-11.200004,162
-21.599989,-10.40002,162
-21.600029,-9.5999321,162
-21.59992,-8.7999947,162
-21.599957,-8.0000269,162
-21.600003,-7.1999829,162
-21.600081,-6.3999031,162
-21.6,-5.600099,162
-21.59997,-4.7999671,169
-21.599912,-4.0000866,169
-21.599935,-3.2000351,169
-21.599966,-2.3999436,169
-21.600063,-1.6000564,169
-21.600082,-0.799989,169
-21.599926,-6.6895103e-5,169
-21.599961,0.80005611,185
-21.600041,1.599927,185
-21.599917,2.4000654,185
-20.800022,-19.99996,168
-20.800013,-19.200032,168
-20.79994,-18.400049,168
-20.799934,-17.599922,168
-20.80005,-16.800025,168
-20.800013,-16.000052,168
-20.80007,-15.199961,168
-20.799919,-14.400016,168
-20.799958,-13.599974,160
-20.799903,-12.800079,160
-20.799929,-12.000074,160
-20.799941,-11.199933,160
-20.800015,-10.399944,162
-20.799917,-9.5999017,162
-20.800077,-8.7999352,162
-20.800088,-8.0000569,162
-20.799963,-7.2000561,162
-20.800032,-6.3999279,162
-20.799919,-5.6000973,162
-20.800097,-4.7999005,169
-20.799983,-4.0000904,169
-20.799962,-3.2000342,169
-20.800047,-2.3999139,169
-20.800024,-1.5999611,169
-20.799949,-0.79995697,169
-20.800085,-1.7650682e-5,169
-20.799958,0.79992758,185
-20.79991,1.6000143,185
-20.799937,2.4000793,185
-20.800049,3.2000164,185
-20.800028,3.9999525,185
-20.800029,4.7999495,185
-20.799921,5.5999318,267
-20.799998,6.4000174,267
-20.800085,7.2000944,267
-20.800056,7.9999188,267
-20.799921,8.8000224,267
-20.79995,9.5999908,267
-20.799999,10.399946,337
-20.799932,11.200019,337
-20.000072,-20.000045,168
-19.999944,-19.200004,168
-20.000002,-18.399998,168
-19.999993,-17.600013,168
-19.99998,-16.800096,168
-20.000058,-15.999955,168
-19.999989,-15.199918,168
-19.999921,-14.40009,160
-19.999994,-13.599904,160
-20.000053,-12.799987,160
-19.999962,-12.000097,160
-20.000096,-11.200023,160
-20.000022,-10.400072,162
-19.999943,-9.6000757,162
-19.999982,-8.7999182,162
-20.000081,-7.9999186,162
-19.999931,-7.1999704,162
-19.999943,-6.4000839,162
-20.000045,-5.6000613,162
-19.999943,-4.7999274,169
-19.999981,-3.9999855,169
-19.999916,-3.1999161,169
-20.00003,-2.400007,169
-19.999925,-1.6000099,169
-19.99992,-0.79997538,169
-20.000094,-3.935516e-7,169
-19.999901,0.80006735,185
-19.999971,1.5999079,185
-19.999951,2.399902,185
-20.000023,3.2000207,185
-20.000062,4.0000525,185
-19.999946,4.8000027,185
-19.999919,5.5999797,267
-19.999999,6.3999779,267
-19.999908,7.2000112,267
-20.000069,7.9999006,267
-20.000055,8.7999028,267
-19.999972,9.6000171,267
-20.000056,10.399986,337
-19.999924,11.199945,337
-19.99992,12.000045,337
-20.000067,12.800059,337
-20.00004,13.600053,337
-19.999997,14.399967,337
-20.000012,15.200025,355
-19.999919,16.000026,355
-19.999951,16.80003,355
-20.000035,17.600032,355
-20.000025,18.399936,355
-20.000055,19.199941,355
-19.19999,-19.999936,168
-19.20008,-19.200047,168
-19.200041,-18.400014,168
-19.200059,-17.599935,168
-19.200092,-16.800058,168
-19.199908,-16.000067,168
-19.199959,-15.200083,168
-19.200092,-14.399932,160
-19.200022,-13.599973,160
-19.200065,-12.800003,160
-19.200034,-11.999941,160
-19.200077,-11.199952,160
-19.200022,-10.400035,162
-19.20004,-9.5999633,162
-19.199994,-8.7999798,162
-19.20005,-7.9999424,162
-19.200051,-7.200037,162
